member,exp_name,exp_num,block_size,n_layer,n_head,n_embd,batch_size,max_iters,dropout,num_parameters,final_train_loss,final_val_loss,duration,val_train_gap
member1,exp_001_bs64_nl4_nh4_ne128_bsz8_mi25_dr0.1,1,64,4,4,128,8,25,0.1,0.8,3.0585,3.076,7.58,0.01750000000000007
member1,exp_002_bs64_nl4_nh4_ne128_bsz8_mi25_dr0.2,2,64,4,4,128,8,25,0.2,0.8,3.1082,3.1314,7.95,0.02320000000000011
member1,exp_003_bs64_nl4_nh4_ne128_bsz8_mi50_dr0.1,3,64,4,4,128,8,50,0.1,0.8,2.7908,2.7765,11.81,-0.01429999999999998
member1,exp_004_bs64_nl4_nh4_ne128_bsz8_mi50_dr0.2,4,64,4,4,128,8,50,0.2,0.8,2.8218,2.8104,11.83,-0.011400000000000077
member1,exp_005_bs64_nl4_nh4_ne128_bsz16_mi25_dr0.1,5,64,4,4,128,16,25,0.1,0.8,3.0279,3.0367,11.81,0.008800000000000363
member1,exp_006_bs64_nl4_nh4_ne128_bsz16_mi25_dr0.2,6,64,4,4,128,16,25,0.2,0.8,3.0348,3.0455,12.32,0.010699999999999932
member1,exp_007_bs64_nl4_nh4_ne128_bsz16_mi50_dr0.1,7,64,4,4,128,16,50,0.1,0.8,2.7248,2.7522,16.81,0.02740000000000009
member1,exp_008_bs64_nl4_nh4_ne128_bsz16_mi50_dr0.2,8,64,4,4,128,16,50,0.2,0.8,2.7344,2.7618,15.96,0.02740000000000009
member1,exp_009_bs64_nl4_nh4_ne256_bsz8_mi25_dr0.1,9,64,4,4,256,8,25,0.1,3.16,2.75,2.773,15.65,0.02300000000000013
member1,exp_010_bs64_nl4_nh4_ne256_bsz8_mi25_dr0.2,10,64,4,4,256,8,25,0.2,3.16,2.8012,2.8322,15.39,0.030999999999999694
member1,exp_011_bs64_nl4_nh4_ne256_bsz8_mi50_dr0.1,11,64,4,4,256,8,50,0.1,3.16,2.611,2.608,28.57,-0.0030000000000001137
member1,exp_012_bs64_nl4_nh4_ne256_bsz8_mi50_dr0.2,12,64,4,4,256,8,50,0.2,3.16,2.632,2.6247,27.85,-0.007300000000000306
member1,exp_013_bs64_nl4_nh4_ne256_bsz16_mi25_dr0.1,13,64,4,4,256,16,25,0.1,3.16,2.7023,2.6875,25.64,-0.014800000000000146
member1,exp_014_bs64_nl4_nh4_ne256_bsz16_mi25_dr0.2,14,64,4,4,256,16,25,0.2,3.16,2.7248,2.7078,28.94,-0.016999999999999904
member1,exp_015_bs64_nl4_nh4_ne256_bsz16_mi50_dr0.1,15,64,4,4,256,16,50,0.1,3.16,2.5683,2.5579,48.35,-0.010399999999999743
member1,exp_016_bs64_nl4_nh4_ne256_bsz16_mi50_dr0.2,16,64,4,4,256,16,50,0.2,3.16,2.585,2.5735,46.81,-0.011499999999999844
member1,exp_017_bs64_nl4_nh8_ne128_bsz8_mi25_dr0.1,17,64,4,8,128,8,25,0.1,0.8,3.0634,3.0731,7.56,0.009700000000000042
member1,exp_018_bs64_nl4_nh8_ne128_bsz8_mi25_dr0.2,18,64,4,8,128,8,25,0.2,0.8,3.063,3.064,7.75,0.0009999999999998899
